;Kingdom;Phylum;Class;Order;Family;Genus;Species
ASV3056;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;NA
ASV3057;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3058;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;NA
ASV3059;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA
ASV3060;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;NA
ASV3061;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;NA
ASV3062;Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;NA
ASV3063;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;NA
ASV3064;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV3065;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3066;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA
ASV3067;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;NA;NA;NA
ASV3068;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;NA;NA;NA
ASV3069;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;NA;NA;NA
ASV3070;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;NA;NA;NA
ASV3071;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA
ASV3072;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;NA;NA
ASV3073;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3074;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella;NA
ASV3075;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV3076;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NC2004 group;NA
ASV3077;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] eligens group;NA
ASV3078;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;NA
ASV3079;Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;NA
ASV3080;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3081;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;NA
ASV3082;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV3083;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3084;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV3085;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;NA
ASV3086;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;NA
ASV3087;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;NA
ASV3088;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;NA;NA
ASV3089;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group;NA
ASV3090;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;NA;NA;NA
ASV3091;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;NA
ASV3092;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;NA
ASV3093;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
ASV3094;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Phocea;NA
ASV3095;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3096;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3097;Bacteria;Firmicutes;Bacilli;RF39;NA;NA;NA
ASV3098;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;NA;NA
ASV3099;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella;NA
ASV3100;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA
ASV3101;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3102;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;NA
ASV3103;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA
ASV3104;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3105;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3106;Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;NA;NA;NA
ASV3107;Bacteria;Proteobacteria;NA;NA;NA;NA;NA
ASV3108;Bacteria;NA;NA;NA;NA;NA;NA
ASV3109;NA;NA;NA;NA;NA;NA;NA
ASV3110;Bacteria;NA;NA;NA;NA;NA;NA
ASV3111;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;NA
ASV3112;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Murimonas;NA
ASV3113;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea;NA
ASV3114;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
ASV3115;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;NA
ASV3116;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3117;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3118;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3119;Bacteria;NA;NA;NA;NA;NA;NA
ASV3120;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Aquamonas;NA
ASV3121;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3122;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
ASV3123;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola;NA
ASV3124;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;NA;NA
ASV3125;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;NA
ASV3126;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;NA
ASV3127;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
ASV3128;Bacteria;NA;NA;NA;NA;NA;NA
ASV3129;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;NA
ASV3130;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3131;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;NA
ASV3132;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV3133;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3134;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Paraclostridium;NA
ASV3135;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;NA
ASV3136;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3137;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;NA;NA
ASV3138;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV3139;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3140;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;NA
ASV3141;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3142;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;NA;NA;NA
ASV3143;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;NA
ASV3144;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV3145;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV3146;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;NA
ASV3147;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3148;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3149;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Sutterella;NA
ASV3150;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA
ASV3151;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3152;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
ASV3153;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3154;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Paludicola;NA
ASV3155;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;NA
ASV3156;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
ASV3157;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;NA
ASV3158;Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum;NA
ASV3159;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;NA;NA
ASV3160;Bacteria;Firmicutes;Bacilli;Lactobacillales;NA;NA;NA
ASV3161;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3162;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;NA;NA
ASV3163;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;NA;NA;NA
ASV3164;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA
ASV3165;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA
ASV3166;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;NA
ASV3167;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthella;NA
ASV3168;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV3169;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;Erysipelotrichaceae UCG-003;NA
ASV3170;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005;NA
ASV3171;Bacteria;Bacteroidota;Bacteroidia;NA;NA;NA;NA
ASV3172;Bacteria;NA;NA;NA;NA;NA;NA
ASV3173;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3174;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group;NA
ASV3175;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-011;NA;NA
ASV3176;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;NA
ASV3177;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV3178;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;NA
ASV3179;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3180;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3181;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA
ASV3182;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV3183;Bacteria;NA;NA;NA;NA;NA;NA
ASV3184;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3185;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV3186;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;NA
ASV3187;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3188;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;NA
ASV3189;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;NA
ASV3190;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3191;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3192;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3193;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA
ASV3194;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3195;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA
ASV3196;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;NA
ASV3197;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3198;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3199;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;NA
ASV3200;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;NA
ASV3201;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister;NA
ASV3202;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Peptoniphilus;NA
ASV3203;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;NA
ASV3204;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;NA
ASV3205;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Oscillibacter;NA
ASV3206;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV3207;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;NA
ASV3208;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3209;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;NA;NA
ASV3210;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3211;Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum;NA
ASV3212;Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA
ASV3213;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3214;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;NA
ASV3215;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001;NA
ASV3216;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3217;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] fissicatena group;NA
ASV3218;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Murdochiella;NA
ASV3219;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;NA;NA
ASV3220;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3221;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA
ASV3222;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila;NA
ASV3223;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066755;NA
ASV3224;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;NA
ASV3225;Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Pyramidobacter;NA
ASV3226;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;NA;NA
ASV3227;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3228;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;NA;NA
ASV3229;Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;NA
ASV3230;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;NA
ASV3231;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004;NA
ASV3232;Bacteria;Bacteroidota;Bacteroidia;NA;NA;NA;NA
ASV3233;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Fournierella;NA
ASV3234;Bacteria;Firmicutes;NA;NA;NA;NA;NA
ASV3235;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3236;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA
ASV3237;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-011;NA;NA
ASV3238;Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;NA
ASV3239;Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus;NA
ASV3240;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3241;Bacteria;Firmicutes;Bacilli;RF39;NA;NA;NA
ASV3242;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;NA;NA
ASV3243;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV3244;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;NA
ASV3245;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;NA
ASV3246;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV3247;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;NA;NA
ASV3248;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;NA;NA
ASV3249;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Subdoligranulum;NA
ASV3250;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3251;Bacteria;NA;NA;NA;NA;NA;NA
ASV3252;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3253;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;NA;NA
ASV3254;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;NA
ASV3255;Bacteria;Bacteroidota;Bacteroidia;NA;NA;NA;NA
ASV3256;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA
ASV3257;Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;NA;NA
ASV3258;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NC2004 group;NA
ASV3259;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;NA
ASV3260;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NC2004 group;NA
ASV3261;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3262;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA
ASV3263;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV3264;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3265;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3266;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV3267;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;NA
ASV3268;Bacteria;Firmicutes;Clostridia;NA;NA;NA;NA
ASV3269;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;NA
ASV3270;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;NA
ASV3271;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;NA;NA
ASV3272;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella_9;NA
ASV3273;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA
ASV3274;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3275;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] oxidoreducens group;NA
ASV3276;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;NA
ASV3277;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;NA
ASV3278;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;NA;NA
ASV3279;Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;NA;NA
ASV3280;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA
ASV3281;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA
ASV3282;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;NA;NA
ASV3283;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;NA
ASV3284;Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;NA
ASV3285;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Coprobacter;NA
ASV3286;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;NA
ASV3287;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;NA
ASV3288;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV3289;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Fusicatenibacter;NA
ASV3290;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;NA
ASV3291;Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;NA;NA
ASV3292;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII UCG-001;NA
ASV3293;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;NA
ASV3294;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;[Eubacterium] siraeum group;NA
ASV3295;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3296;Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;NA;NA;NA
ASV3297;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] eligens group;NA
ASV3298;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3299;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;NA
ASV3300;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3301;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;NA
ASV3302;Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;NA;NA
ASV3303;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-002;NA
ASV3304;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3305;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;NA;NA
ASV3306;Bacteria;Firmicutes;Clostridia;Oscillospirales;NA;NA;NA
ASV3307;Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;NA
ASV3308;Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;NA
ASV3309;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NA;NA
ASV3310;Bacteria;NA;NA;NA;NA;NA;NA
ASV3311;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;NA
ASV3312;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;NA
ASV3313;Bacteria;Verrucomicrobiota;Lentisphaeria;Victivallales;Victivallaceae;Victivallis;NA
ASV3314;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Sutterellaceae;Parasutterella;NA
ASV3315;Bacteria;Firmicutes;Clostridia;Oscillospirales;[Clostridium] methylpentosum group;NA;NA
ASV3316;Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-007;NA
ASV3317;Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group;NA;NA;NA
